          50          50
    112.000       -59.5000        .000000    
    114.000       -59.5000        .000000    
    116.000       -59.5000        .000000    
    118.000       -59.5000        .000000    
    120.000       -59.5000        .000000    
    122.000       -59.5000        .417752E-05
    124.000       -59.5000        .255129E-04
    126.000       -59.5000        .619402E-04
    128.000       -59.5000        .110280E-03
    130.000       -59.5000        .167566E-03
    132.000       -59.5000        .231042E-03
    134.000       -59.5000        .298166E-03
    136.000       -59.5000        .366605E-03
    138.000       -59.5000        .434240E-03
    140.000       -59.5000        .499165E-03
    142.000       -59.5000        .559683E-03
    144.000       -59.5000        .614310E-03
    146.000       -59.5000        .661776E-03
    148.000       -59.5000        .701021E-03
    150.000       -59.5000        .731196E-03
    152.000       -59.5000        .751666E-03
    154.000       -59.5000        .762007E-03
    156.000       -59.5000        .762007E-03
    158.000       -59.5000        .751666E-03
    160.000       -59.5000        .731196E-03
    162.000       -59.5000        .701021E-03
    164.000       -59.5000        .661776E-03
    166.000       -59.5000        .614310E-03
    168.000       -59.5000        .559683E-03
    170.000       -59.5000        .499165E-03
    172.000       -59.5000        .434241E-03
    174.000       -59.5000        .366605E-03
    176.000       -59.5000        .298166E-03
    178.000       -59.5000        .231042E-03
    180.000       -59.5000        .167566E-03
    182.000       -59.5000        .110280E-03
    184.000       -59.5000        .619402E-04
    186.000       -59.5000        .255130E-04
    188.000       -59.5000        .417761E-05
    190.000       -59.5000        .000000    
    192.000       -59.5000        .000000    
    194.000       -59.5000        .000000    
    196.000       -59.5000        .000000    
    198.000       -59.5000        .000000    
    200.000       -59.5000        .000000    
    202.000       -59.5000        .000000    
    204.000       -59.5000        .000000    
    106.000       -56.1000        .000000    
    108.000       -56.1000        .000000    
    110.000       -56.1000        .000000    
    112.000       -56.1000        .000000    
    114.000       -56.1000        .000000    
    116.000       -56.1000        .000000    
    118.000       -56.1000        .000000    
    120.000       -56.1000        .417752E-05
    122.000       -56.1000        .274468E-04
    124.000       -56.1000        .679980E-04
    126.000       -56.1000        .122440E-03
    128.000       -56.1000        .187595E-03
    130.000       -56.1000        .260493E-03
    132.000       -56.1000        .338381E-03
    134.000       -56.1000        .418716E-03
    136.000       -56.1000        .499165E-03
    138.000       -56.1000        .577609E-03
    140.000       -56.1000        .652142E-03
    142.000       -56.1000        .721067E-03
    144.000       -56.1000        .782901E-03
    146.000       -56.1000        .836371E-03
    148.000       -56.1000        .880419E-03
    150.000       -56.1000        .914198E-03
    152.000       -56.1000        .937070E-03
    154.000       -56.1000        .948612E-03
    156.000       -56.1000        .948612E-03
    158.000       -56.1000        .937070E-03
    160.000       -56.1000        .914198E-03
    162.000       -56.1000        .880420E-03
    164.000       -56.1000        .836371E-03
    166.000       -56.1000        .782901E-03
    168.000       -56.1000        .721067E-03
    170.000       -56.1000        .652142E-03
    172.000       -56.1000        .577610E-03
    174.000       -56.1000        .499165E-03
    176.000       -56.1000        .418716E-03
